dataset,arm,spearman,top1_percentile,top5_mean_percentile,top10_mean_percentile,top50_mean_percentile,top10_top1pct_hits,top50_top1pct_hits,top50_top1pct_enrichment,top50_mean_true_score,normalized_top1_regret,delta_spearman_vs_B3,delta_top5_pct_vs_B3,delta_top50_pct_vs_B3,delta_top50_hits_vs_B3,delta_top50_true_vs_B3,top50_overlap_with_B3,top50_replacement_gain_true,mean_abs_rank_shift
PHOT_CHLRE_Chen_2023,T_RANK_FUSION_50_50,0.9082319757139135,0.9991656734207389,0.9936829558998808,0.9896066746126341,0.9535446960667463,6,11,22.0,1.261890219915403,0.004679025311220415,0.008720494858613814,0.0015733015494635572,0.014321811680572116,1,0.0149723227273717,43,0.10694516233836837,71.81620977353992
PHOT_CHLRE_Chen_2023,T_RANK_FUSION_PAIR_75,0.9045285608292966,0.9991656734207389,0.9921096543504172,0.9887246722288439,0.9390321811680572,6,9,18.0,1.2419850482912735,0.004679025311220415,0.0050170799739969185,0.0,-0.0001907032181169832,-1,-0.004932848896757713,47,-0.08221414827929618,35.88891537544696
PHOT_CHLRE_Chen_2023,T_OOF_OBJECTIVE_GATE,0.9111886330880923,0.9991656734207389,0.9936829558998808,0.9896066746126341,0.955284862932062,6,11,22.0,1.2646807531478503,0.004679025311220415,0.011677152232792642,0.0015733015494635572,0.016061978545887867,1,0.01776285595981908,40,0.08881427979909495,142.8786650774732
GB1_Wu2016_NABU_V8_1,B3_RAW_PAIR,0.40177348622242515,0.9998106819902891,0.9994097732638425,0.9982850015590895,0.9978805291995188,10,48,96.0,4.3202821399762,0.19106598606621458,0.0,0.0,0.0,0,0.0,50,,0.0
GB1_Wu2016_NABU_V8_1,B4_CROSSFIT_TRIPLET,0.3973591817488753,0.9998106819902891,0.9996325003340907,0.9990623190342554,0.9985014922713706,10,50,100.0,4.520412251146,0.19106598606621458,-0.004414304473549846,0.00022272707024817429,0.0006209630718518877,2,0.20013011116980017,44,1.6677509264149992,1392.440865962849
GB1_Wu2016_NABU_V8_1,B5_CROSSFIT_ADAPTIVE_HIGHER_ORDER,0.3973591817488753,0.9998106819902891,0.9996325003340907,0.9990623190342554,0.9985014922713706,10,50,100.0,4.520412251146,0.19106598606621458,-0.004414304473549846,0.00022272707024817429,0.0006209630718518877,2,0.20013011116980017,44,1.6677509264149992,1392.440865962849
GB1_Wu2016_NABU_V8_1,T_QUARTER_HIGHER_ORDER,0.4014422120532178,0.9998106819902891,0.9994097732638425,0.9985589558554946,0.9980912290079736,10,49,98.0,4.3742522991832,0.19106598606621458,-0.00033127416920736286,0.0,0.000210699808454895,1,0.0539701592070001,49,2.69850796035,297.3041560871308
GB1_Wu2016_NABU_V8_1,T_HALF_HIGHER_ORDER,0.40066181631495384,0.9998106819902891,0.9994097732638425,0.9990868190119826,0.9981999198182546,10,49,98.0,4.407971359743399,0.19106598606621458,-0.0011116699074713021,0.0,0.0003193906187358708,1,0.08768921976719923,48,2.1922304941800004,625.7902801906544
GB1_Wu2016_NABU_V8_1,T_THREE_QUARTER_HIGHER_ORDER,0.3993418325569377,0.9998106819902891,0.9996325003340907,0.9990868190119828,0.9982542652233952,10,49,98.0,4.4288291969378,0.19106598606621458,-0.002431653665487421,0.00022272707024817429,0.00037373602387646976,1,0.10854705696159961,46,1.3568382120199995,989.1786716557531
GB1_Wu2016_NABU_V8_1,T_CONFIDENCE_SQUARED,0.39889660490320045,0.9998106819902891,0.9996325003340907,0.9990623190342554,0.9985014922713709,10,50,100.0,4.520412251146,0.19106598606621458,-0.0028768813192247,0.00022272707024817429,0.0006209630718521097,2,0.20013011116980017,44,1.6677509264149992,1159.9916254621587
GB1_Wu2016_NABU_V8_1,T_ELITE_10PCT_HIGHER_ORDER,0.4021517298551517,0.9998106819902891,0.9996325003340907,0.9990623190342554,0.9985014922713706,10,50,100.0,4.520412251146,0.19106598606621458,0.00037824363272653816,0.00022272707024817429,0.0006209630718518877,2,0.20013011116980017,44,1.6677509264149992,32.86378012383625
GB1_Wu2016_NABU_V8_1,T_ELITE_20PCT_HIGHER_ORDER,0.4030124739608746,0.9998106819902891,0.9996325003340907,0.9990623190342554,0.9985014922713706,10,50,100.0,4.520412251146,0.19106598606621458,0.0012389877384494374,0.00022272707024817429,0.0006209630718518877,2,0.20013011116980017,44,1.6677509264149992,162.9285491558644
GB1_Wu2016_NABU_V8_1,T_ELITE_30PCT_HIGHER_ORDER,0.4033079029964345,0.9998106819902891,0.9996325003340907,0.9990623190342554,0.9985014922713706,10,50,100.0,4.520412251146,0.19106598606621458,0.0015344167740093395,0.00022272707024817429,0.0006209630718518877,2,0.20013011116980017,44,1.6677509264149992,308.2723952069135
GB1_Wu2016_NABU_V8_1,T_RANK_FUSION_50_50,0.400193314379343,0.9998106819902891,0.9996636821239253,0.999227137066239,0.9981999198182546,10,49,98.0,4.407971359743399,0.19106598606621458,-0.0015801718430821232,0.00025390886008280766,0.0003193906187358708,1,0.08768921976719923,48,2.1922304941800004,698.0920976435476
GB1_Wu2016_NABU_V8_1,T_RANK_FUSION_PAIR_75,0.4011694936841911,0.9998106819902891,0.9994097732638425,0.9983206378903293,0.9980912290079735,10,49,98.0,4.3742522991832,0.19106598606621458,-0.0006039925382340661,0.0,0.00021069980845478398,1,0.0539701592070001,49,2.69850796035,348.6726134794423
GB1_Wu2016_NABU_V8_1,T_OOF_OBJECTIVE_GATE,0.4030124739608746,0.9998106819902891,0.9996325003340907,0.9990623190342554,0.9985014922713706,10,50,100.0,4.520412251146,0.19106598606621458,0.0012389877384494374,0.00022272707024817429,0.0006209630718518877,2,0.20013011116980017,44,1.6677509264149992,162.9285491558644
